prod_name,brand_name,marked_price,discounted_price,rating,rating_count,size,product_link,img_link
Printed Detail Cotton T-shirt,Kook N Keech,899.0,674.0,4.4,49.0,XS,https://www.myntra.com/tshirts/kook-n-keech/kook-n-keech-women-black-printed-detail-cotton-round-neck-oversized-t-shirt/12958930/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/12958930/2021/4/3/478986f3-945a-4579-b101-294b5142ffef1617440214622-Kook-N-Keech-Women-Tshirts-5791617440213885-1.jpg"
Men Slim Fit Casual Shirt,HIGHLANDER,1199.0,599.0,3.9,2.4,44,https://www.myntra.com/shirts/highlander/highlander-men-blue--orange-slim-fit-checked-casual-shirt/11518152/buy,
Solid Block Heel Pumps,Denill,999.0,569.0,4.2,2.0,EURO38,https://www.myntra.com/heels/denill/denill-white-solid-pointed-toe-block-heel-pumps/16977254/buy,
Yoke Design Straight Kurta,Varanga,1999.0,599.0,4.3,4.0,M,https://www.myntra.com/kurtas/varanga/varanga-women-mustard-yellow-yoke-design-straight-kurta/12413214/buy,
Girls Printed Top with Palazzos,Cutiekins,1699.0,815.0,3.9,3.5,10-11Y,https://www.myntra.com/clothing-set/cutiekins/cutiekins-girls-peach-coloured--green-printed-top-with-palazzos/12769350/buy,
Slim Fit Casual Cotton Shirt,Duke,1999.0,1399.0,0.0,0.0,40,https://www.myntra.com/shirts/duke/duke-men-comfort-slim-fit-checked-casual-cotton-shirt/21283340/buy,
Women Dobby Weave Kurta,Janasya,2599.0,987.0,4.2,38.0,XS,https://www.myntra.com/kurtas/janasya/janasya-women-mustard-yellow-dobby-weave-poly-chiffon-kurta/16828294/buy,
Women Cotton Mid-Rise Jogger,Madame,2899.0,2319.0,0.0,0.0,30,https://www.myntra.com/jeans/madame/madame-women-solid-cotton-mid-rise-jogger/21615094/buy,
Men Running Shoes,UNPAR,1499.0,1049.0,0.0,0.0,UK7,https://www.myntra.com/sports-shoes/unpar/unpar-men-mesh-running-non-marking-shoes/21508820/buy,
Yoke Design Kurta,FASHOR,2399.0,1049.0,0.0,0.0,M,https://www.myntra.com/kurtas/fashor/fashor-yoke-design-mirror-work-kurta/21273740/buy,
Cotton Roll-Up Sleeves Top,Roadster,1699.0,764.0,4.2,7.2,S,https://www.myntra.com/tops/roadster/roadster-white-pure-cotton-top-with-roll-up-sleeves/1412648/buy,
Men Printed Casual T-shirt,Levis,1099.0,549.0,4.3,31.0,S,https://www.myntra.com/tshirts/levis/levis-men-orange-graphic-printed-appliques-detailed-pure-cotton-casual-t-shirt/18087704/buy,
