prod_name,brand_name,marked_price,discounted_price,rating,rating_count,size,product_link,img_link
Women Analogue Watch,Daniel Klein,6100,2745,4.4,7.5,Onesize,https://www.myntra.com/watches/daniel-klein/daniel-klein-premium-women-silver-toned-dial-watch-dk11138-2/1620103/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/1620103/2020/11/17/e534cf64-eb40-495e-a44f-4d6d31cced0c1605623766871-Daniel-Klein-Premium-Women-Silver-Toned-Dial-Watch-DK11138-2-1.jpg"
Icon Buzz Smart Watch,NOISE,4999,1799,4.3,2.5,Onesize,https://www.myntra.com/smart-watches/noise/noise-olive-green-colorfit-icon-buzz-bluetooth-calling-smart-watch-with-voice-assistance/16934962/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16934962/2022/1/25/a07abb31-1b0e-440c-9609-7f96de6250331643099928088SmartWatches2.jpg"
Denim Cotton Sheath Dress,Athena,2799,1483,3.6,9,L,https://www.myntra.com/dresses/athena/athena-cotton-denim-sheath-dress/21394918/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21394918/2023/1/3/6d41036e-3f87-47a1-90c7-563af5dd41111672719076481AthenaMaroonRoundNeckShirtDenimDress1.jpg"
Slim Fit Casual Shirt,HIGHLANDER,1049,493,4.3,15.8,42,https://www.myntra.com/shirts/highlander/highlander-men-green--white-slim-fit-printed-casual-shirt/11780968/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11780968/2022/11/21/57eb174b-cbf1-4d1e-906c-dd87fcfb059d1669021381999-HIGHLANDER-Men-Green--White-Slim-Fit-Printed-Casual-Shirt-27-1.jpg"
Men Hamilton Deodorant,Denver,280,154,4.4,12.2,150-200 ML,https://www.myntra.com/deodorant/denver/denver-men-hamilton-deodorant-200-ml/4374595/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/4374595/2022/9/10/2bdeee4d-8590-4637-9242-944fdc6515a91662798421551-Denver-Men-Hamilton-Deodorant-200-ml-221662798421487-1.jpg"
Women Printed Kurta with Trousers With Dupatta,KALINI,3499,874,4.1,5.8,L,https://www.myntra.com/kurta-sets/kalini/kalini-women-pink-floral-printed-kurta-with-trousers--with-dupatta/17741474/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17741474/2022/4/4/3d3b3582-de6e-4514-b39d-9314d7bed3861649077991860KALINIWomenPinkAngrakhaKurtiwithTrousersWithDupatta7.jpg"
Women Cotton Printed Kurta Set,Libas,2799,1399,4.3,3.1,XXL,https://www.myntra.com/kurta-sets/libas/libas-women-black-pure-cotton-ethnic-motifs-printed-kurta-with-palazzos--dupatta/15055282/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15055282/2021/8/23/deece1d1-0ef0-4769-96b3-3205f71beb1b1629716851778-Libas-Women-Kurta-Sets-3101629716851087-1.jpg"
Women Sneakers,Red Tape,4799,1295,4.4,2.7,UK4,https://www.myntra.com/casual-shoes/red-tape/red-tape-women-white-sneakers/17301784/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17301784/2022/2/26/f96ec6ff-9272-472f-ba1f-ddace6daaf5a1645852137528RedTapeWomenWhiteSneakers1.jpg"
Men Slim Fit Casual Shirt,Dennis Lingo,1849,649,4.1,16.7,40,https://www.myntra.com/shirts/dennis-lingo/dennis-lingo-men-pink-slim-fit-casual-shirt/7488102/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/7488102/2019/8/22/8002a744-0dad-4dbb-9481-cf0090134c3b1566454086786-Dennis-Lingo-Men-Pink-Slim-Fit-Solid-Casual-Shirt-9891566454-1.jpg"
Men Slim Fit Casual Shirt,The Indian Garage Co,1649,593,4.1,12.9,38,https://www.myntra.com/shirts/the-indian-garage-co/the-indian-garage-co-men-white--teal-blue-slim-fit-striped-casual-shirt/10673544/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10673544/2019/9/24/6b9c7688-7ca2-4d11-9e5b-a3745ecd8f761569310358973-The-Indian-Garage-Co-Men-Shirts-8481569310357131-1.jpg"
