prod_name,brand_name,marked_price,discounted_price,rating,rating_count,size,product_link,img_link
Women Solid Joggers,HRX by Hrithik Roshan,1199,599,4,66,XL,https://www.myntra.com/track-pants/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-women-black-solid-joggers/18228316/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18228316/2022/6/13/f513e25d-b65c-4cc6-a0b6-6c628d4100481655102840408-HRX-by-Hrithik-Roshan-Womens-Black-Fashion-Joggers-289165510-1.jpg"
Men Skinny Fit Cropped Jeans,Roadster,1999,699,3.6,78,30,https://www.myntra.com/jeans/roadster/roadster-men-blue-skinny-fit-mid-rise-clean-look-stretchable-cropped-jeans/12358412/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/12358412/2020/12/18/059ed705-7e61-4456-913e-2fe7598fcabb1608274587543-Roadster-Men-Jeans-9221608274584849-1.jpg"
Women Rapid Dry Yoga Tights,HRX by Hrithik Roshan,2499,1374,4.4,62,XS,https://www.myntra.com/tights/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-women-burgundy-printed-rapid-dry-n9-antimicrobial-yoga-tights/11794308/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11794308/2020/6/14/04ba61c3-97c8-447b-9d61-3f1be4d75afa1592107000860MiteraKanjeevaramStyleArtSilkSareeColorGreyTightsHRXbyHrithi1.jpg"
Men Slim Fit Trousers,Peter England,1599,959,3.8,1,34,https://www.myntra.com/trousers/peter-england/peter-england-men-super-slim-fit-trousers/19088766/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19088766/2022/12/19/f110c4a1-51b9-4ffb-a1cf-c877428d45ce1671423804839-Peter-England-Men-Trousers-1281671423804231-1.jpg"
Women Woven Design Slip-On Sneakers,Puma,4499,2249,4.5,16,UK3,https://www.myntra.com/casual-shoes/puma/puma-women-purple-woven-design-slip-on-sneakers/20313444/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20313444/2022/10/7/1a8fe1e9-f2f2-4971-85ef-606d24b6fa401665139866467PumaDynamiteSlip-onWomensSneakers1.jpg"
Women Floral Printed Anarkali Kurta,KALINI,1999,999,4.3,1.7,M,https://www.myntra.com/kurtas/kalini/kalini-women-white--pink-floral-printed-flared-sleeves-floral-anarkali-kurta/16505396/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16505396/2021/12/13/fc5cba5f-f98c-4564-946e-0f6e519c44341639404527297KALINIStraightKurtawithLongFlaredShrug1.jpg"
Floral Elevated Gown,Inddus,6999,2239,3.6,10,M,https://www.myntra.com/dresses/inddus/inddus-women-maroon-floral-elevated-gown/19727574/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19727574/2022/9/20/313d0e6f-7020-4f75-86f1-ec0b4a33ac611663695639192-Inddus-Maroon-Floral-Embroidered-Gown-with-Draped-Dupatta-96-6.jpg"
Strawberry Blast Face Wash,Lakme,240,156,4.5,2.9,90-100 ML,https://www.myntra.com/face-wash-and-cleanser/lakme/lakme-blush--glow-strawberry-blast-face-wash---100-g/153915/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/153915/2022/8/1/e33b10f2-8297-41e2-b638-b1f37b15453d1659354532750-Lakme-Blush--Glow-Strawberry-Blast-Face-Wash---100-g-2721659-1.jpg"
Women Analogue Watch,Titan,,,4.4,49,Onesize,https://www.myntra.com/watches/titan/titan-women-silver-toned-analogue-watch-2598sm01/10830712/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10830712/2022/8/2/8fb06da6-8a86-47f0-869e-4e9ef45bd03d1659441945196-Titan-Women-Silver-Toned-Analogue-Watch-2598SM01-88016594419-1.jpg"
Single-Breasted Casual Blazer,Mast & Harbour,5999,3599,4.2,43,36,https://www.myntra.com/blazers/mast--harbour/mast--harbour-men-maroon-solid-regular-fit-single-breasted-casual-blazer/10313487/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10313487/2019/12/11/41ac7fdf-a86f-4d96-bada-ea4c1f605a7a1576043803149-Mast--Harbour-Men-Maroon-Solid-Regular-Fit-Single-Breasted-C-1.jpg"
Denim Casual Shirt,HIGHLANDER,999,539,4.1,2,39,https://www.myntra.com/shirts/highlander/highlander-blue-faded-slim-fit-denim-casual-shirt/1305541/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/1305541/2018/4/3/11522753403729-Highlander-Blue-Slim-Casual-Shirt-8481522753403536-1.jpg"
Men Slim Fit Jeans,Jean Cafe,2899,1499,0,0,32,https://www.myntra.com/jeans/jean-cafe/jean-cafe-men-jean-slim-fit-mid-rise-jeans/21364186/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21364186/2022/12/30/3b6ada46-f10c-48e0-9fde-3eb7655711151672419104962Jeans1.jpg"
Men Solid Driving Shoes,Woodland,3495,3145,4.5,4,UK6,https://www.myntra.com/casual-shoes/woodland/woodland-men-navy-blue-solid-leather-driving-shoes-with-striped-perforated-detail/16262652/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16262652/2021/12/8/30126646-71bb-455a-a31b-759c91092b0c1638960671040-Woodland-Men-Casual-Shoes-3591638960670755-1.jpg"
